wavelength [nm],Radiance[W/(sr*sqm*nm)],Radiance[W/(sr*sqm*nm)],Radiance[W/(sr*sqm*nm)]
506,3.56E-05,0.004406733,0.001138752
507,3.85E-05,0.00484505,0.001188747
508,4.16E-05,0.00528718,0.001231029
509,4.45E-05,0.005724579,0.001262955
510,4.69E-05,0.006146209,0.001282427
511,4.91E-05,0.006522168,0.001285473
512,5.12E-05,0.006849541,0.001273961
513,5.36E-05,0.007112872,0.001246968
514,5.62E-05,0.007299969,0.001204189
515,5.87E-05,0.007412227,0.001147972
516,6.03E-05,0.007455004,0.001081404
517,6.03E-05,0.007432941,0.00100744
518,5.81E-05,0.007351155,0.000929024
519,5.43E-05,0.007216938,0.000848722
520,5.00E-05,0.007038901,0.000768851
521,4.63E-05,0.006838161,0.000692976
522,4.43E-05,0.006609702,0.000621798
523,4.41E-05,0.006361439,0.000556519
524,4.47E-05,0.006100809,0.000496965
525,4.52E-05,0.005835195,0.000442868
526,4.45E-05,0.005574059,0.000394112
527,4.20E-05,0.005321443,0.000350248
528,3.84E-05,0.005080967,0.000311019
529,3.46E-05,0.004855797,0.000276165
530,3.15E-05,0.004649097,0.000245429
531,3.00E-05,0.004461328,0.000218552
532,3.01E-05,0.004277701,0.000195275
533,3.16E-05,0.004078187,0.000175339
534,3.44E-05,0.003842771,0.000158485
535,3.85E-05,0.003556029,0.000144537
536,4.39E-05,0.003256269,0.000134255
537,5.13E-05,0.003020529,0.000129149
538,6.11E-05,0.002924924,0.000130678
539,7.39E-05,0.003042937,0.000140224
540,8.91E-05,0.003372855,0.000156786
541,0.000105781,0.003832111,0.000176897
542,0.000122263,0.004322401,0.000196424
543,0.000137192,0.004750256,0.000211458
544,0.000149183,0.005048084,0.000219356
545,0.000156887,0.005200148,0.000219999
546,0.000158909,0.005195302,0.00021351
547,0.000153944,0.005025433,0.000200141
548,0.000141485,0.004688497,0.000180509
549,0.000123875,0.004207766,0.000156668
550,0.00010406,0.003611895,0.000130982
551,8.50E-05,0.002928642,0.000105783
552,6.92E-05,0.002194349,8.32E-05
553,5.67E-05,0.001477527,6.39E-05
554,4.69E-05,0.0008584,4.79E-05
555,3.90E-05,0.00041734,3.54E-05
556,3.23E-05,0.000223714,2.63E-05
557,2.66E-05,0.000239394,2.00E-05
558,2.21E-05,0.000371272,1.58E-05
559,1.90E-05,0.000524471,1.29E-05
560,1.75E-05,0.000607714,1.03E-05
561,1.73E-05,0.000598358,7.89E-06
562,1.80E-05,0.00053402,5.93E-06
563,1.89E-05,0.00045154,4.65E-06
564,1.97E-05,0.000386734,4.28E-06
565,2.01E-05,0.000352047,4.75E-06
566,2.01E-05,0.000335539,5.67E-06
567,1.97E-05,0.000324309,6.63E-06
568,1.91E-05,0.000305692,7.25E-06
569,1.87E-05,0.000279335,7.41E-06
570,1.98E-05,0.000261666,7.39E-06
571,2.35E-05,0.0002703,7.51E-06
572,3.10E-05,0.000322601,8.06E-06
573,4.26E-05,0.000423203,9.22E-06
574,5.71E-05,0.000554755,1.09E-05
575,7.32E-05,0.000697774,1.32E-05
576,8.94E-05,0.000831971,1.58E-05
577,0.000105472,0.000943005,1.89E-05
578,0.000123248,0.00102518,2.20E-05
579,0.000144781,0.001073996,2.51E-05
580,0.000172121,0.001084996,2.80E-05
581,0.000206621,0.001060244,3.05E-05
582,0.000246335,0.001008503,3.26E-05
583,0.000289193,0.000942262,3.44E-05
584,0.000333127,0.000874013,3.58E-05
585,0.000377882,0.00081404,3.70E-05
586,0.000428753,0.000767489,3.79E-05
587,0.000490966,0.000736454,3.87E-05
588,0.000570197,0.000724143,3.94E-05
589,0.000668653,0.000730607,3.99E-05
590,0.000778217,0.000746528,3.99E-05
591,0.000891152,0.000762804,3.91E-05
592,0.000995567,0.000766312,3.71E-05
593,0.00108482,0.000749251,3.37E-05
594,0.001163283,0.000714598,2.96E-05
595,0.001237494,0.000667434,2.56E-05
596,0.001311922,0.000611909,2.25E-05
597,0.001385511,0.000553458,2.09E-05
598,0.001426792,0.000493429,2.01E-05
599,0.001398774,0.000432641,1.94E-05
600,0.001264185,0.000371923,1.79E-05
601,0.001042493,0.000313997,1.54E-05
602,0.000923201,0.000270875,1.36E-05
603,0.00111962,0.00025468,1.48E-05
604,0.001844645,0.000277511,2.08E-05
605,0.003205266,0.000344743,3.29E-05
606,0.005052282,0.000445513,4.97E-05
607,0.007197571,0.00056645,6.99E-05
608,0.009453247,0.000694223,9.18E-05
609,0.011633532,0.000816223,0.000113691
610,0.01355701,0.000921331,0.000133553
611,0.015015959,0.000996835,0.000148942
612,0.01585397,0.001033482,0.000157961
613,0.015945835,0.001023021,0.000159515
614,0.015253133,0.000961302,0.000154187
615,0.013746018,0.000844594,0.000142719
616,0.01137664,0.000668241,0.000125606
617,0.008401024,0.000450583,0.000104893
618,0.005361449,0.00023315,8.35E-05
619,0.002814322,5.86E-05,6.44E-05
620,0.00128848,0,5.05E-05
621,0.000854997,0,4.24E-05
